Madhavan Park,12.936111,77.585556,9,0,8,0,10,0,2,29,5732,6,6,4,0,0,0,4,0,0,0,0,4
Madivala,12.925618,77.615403,7,0,10,2,8,0,4,31,4615,7,6,4,0,0,0,4,0,0,0,0,4
Mallathahalli,12.956532,77.502492,16,0,8,1,30,3,70,128,5798,30,26,17,2,2,2,19,2,2,2,2,20
Mavalli,12.952958,77.580249,104,3,7,0,144,6,109,373,962,89,78,52,5,5,5,55,5,5,5,5,59
Mico Layout,12.913629,77.604813,57,0,8,0,147,8,130,350,5798,84,73,48,5,5,5,52,5,5,5,5,56
Mount St Joseph,27.462983,88.550046,13,0,34,0,43,0,13,103,3768,24,21,14,1,1,1,15,1,1,1,1,16
Muthanallur,12.832339,77.735258,16,0,75,28,43,0,47,209,3786,49,43,29,3,3,3,31,3,3,3,3,33
Nayandahalli,12.937313,77.520355,63,121,177,15,131,4,640,1151,692,276,241,160,16,16,16,172,16,16,16,16,184
Padmanabhnagar,8.245768,77.319474,65,2,57,6,71,0,57,258,2695,61,54,36,4,4,4,38,4,4,4,4,41
Pampamahakavi Road,22.61373,88.41263,34,0,11,5,191,91,282,614,3704,147,128,85,9,9,9,92,9,9,9,9,98
Ragihalli,12.73883,77.574827,0,0,2,0,0,0,0,2,3841,0,0,0,0,0,0,0,0,0,0,0,0
Rajarajeshwarinagar,12.289947,76.605612,1027,206,684,174,4616,2200,6121,15028,1756,3606,3155,2103,215,215,215,2254,215,215,215,215,2404
Ramohalli,12.906403,77.418167,70,1,89,10,165,4,42,381,1393,91,79,53,5,5,5,57,5,5,5,5,60
Rv Niketan,12.92474,77.499321,296,21,1071,6,1343,175,400,3312,6802,794,695,463,47,47,47,496,47,47,47,47,529
Sakalavara,12.835547,77.589884,1,0,4,0,11,0,0,16,6632,3,3,2,0,0,0,2,0,0,0,0,2
Sampangiramnagar,12.966518,77.592448,4,0,13,2,10,4,9,42,5321,9,8,5,1,1,1,6,1,1,1,1,6
Shanthinagar,14.708269,76.849435,44,5,150,18,160,0,0,377,5550,90,78,52,5,5,5,56,5,5,5,5,60
Singasandra,12.878402,77.647047,41,10,99,1,77,7,114,349,866,83,73,48,5,5,5,52,5,5,5,5,55
Somanhalli,13.218822,77.495295,0,0,0,0,0,0,0,0,6283,0,0,0,0,0,0,0,0,0,0,0,0
St. John's Medical College,8.522625,76.929218,54,3,79,20,112,6,42,316,1158,75,66,44,4,4,4,47,4,4,4,4,50
State Bank Of Mysore Colony,12.331143,76.662427,77,0,112,10,136,20,217,572,6689,136,120,80,8,8,8,85,8,8,8,8,91
Subramanyapura,12.902043,77.523601,5,0,0,0,5,0,0,10,1432,2,1,1,0,0,0,1,0,0,0,0,1
Sulikere,12.939293,77.447766,54,6,277,14,190,2,193,736,5998,176,154,102,11,11,11,110,11,11,11,11,117
Taralu,12.772336,77.530115,0,0,1,1,8,0,0,10,3491,2,1,1,0,0,0,1,0,0,0,0,1
